rank,release_date,title,production_cost,domestic_gross,worldwide_gross,opening_weekend,rating,genre,theaters,runtime,year,profit
482,2000-03-31,The Road to El Dorado,95000000,50802661,65700000,12846652.0,PG,Adventure,3223.0,89.0,2000.0,-29300000
483,2009-12-11,The Lovely Bones,95000000,44114232,94894448,116616.0,PG-13,Drama,2638.0,135.0,2009.0,-105552
484,2016-06-30,Ben-Hur,95000000,26410477,91669648,11203815.0,PG-13,Adventure,3084.0,123.0,2016.0,-3330352
485,2014-12-19,Seventh Son,95000000,17725785,108874967,7217640.0,PG-13,Adventure,2875.0,102.0,2014.0,13874967
486,2003-05-30,Finding Nemo,94000000,380529370,936094852,70251710.0,G,Adventure,3425.0,100.0,2003.0,842094852
487,2003-12-17,The Lord of the Rings: The Return of the King,94000000,377845905,1120214046,72629713.0,PG-13,Adventure,3703.0,201.0,2003.0,1026214046
488,2002-12-18,The Lord of the Rings: The Two Towers,94000000,342548984,919148764,62007528.0,PG-13,Adventure,3622.0,179.0,2002.0,825148764
489,2001-06-15,Lara Croft: Tomb Raider,94000000,131144183,273330185,47735743.0,PG-13,Adventure,3349.0,100.0,2001.0,179330185
490,2015-01-29,Kingsman: The Secret Service,94000000,128261724,404561724,36206331.0,R,Action,3282.0,129.0,2015.0,310561724
491,2001-12-19,The Lord of the Rings: The Fellowship of the Ring,93000000,315544750,891216824,47211490.0,PG-13,Adventure,3381.0,179.0,2001.0,798216824
492,2001-07-18,Jurassic Park III,93000000,181166115,365900000,50771645.0,PG-13,Action,3470.0,93.0,2001.0,272900000
493,2011-08-05,Rise of the Planet of the Apes,93000000,176760185,470986200,54806191.0,PG-13,Adventure,3691.0,120.0,2011.0,377986200
494,2008-02-14,The Spiderwick Chronicles,92500000,71195053,162839667,19004058.0,PG,Adventure,3847.0,96.0,2008.0,70339667
495,2004-10-22,The Incredibles,92000000,261441092,631441092,70467623.0,PG,Adventure,3933.0,115.0,2004.0,539441092
496,2013-02-06,A Good Day to Die Hard,92000000,67349198,304249198,24834845.0,R,Action,3555.0,98.0,2013.0,212249198
497,2004-04-09,The Alamo,92000000,22406362,23911362,9124701.0,PG-13,Western,2609.0,137.0,2004.0,-68088638
499,2013-12-19,The Secret Life of Walter Mitty,91000000,58236838,187861183,12765508.0,PG,Adventure,2922.0,114.0,2013.0,96861183
